Relative Time,Date,Time Stamp UTC,Volt,Volt,PSI ,Pounds
1388.89,45906,0.944513889,0.8203125,0.820007324,933.0596924,460.2279979
1388.9,45906,0.944513889,0.821533203,0.822753906,936.2640381,461.7926413
1388.91,45906,0.944513889,0.823974609,0.825195313,939.239502,463.1532007
1388.92,45906,0.944513889,0.825195313,0.826416016,941.5283203,463.6974244
1388.93,45906,0.944513889,0.826416016,0.827026367,944.0460205,464.0375643
1388.94,45906,0.944513889,0.827636719,0.828552246,946.105957,464.9899559
1388.95,45906,0.944513889,0.830078125,0.829772949,948.1658936,466.1804454
1388.96,45906,0.944513889,0.831298828,0.831298828,950.2258301,467.030795
1388.97,45906,0.944513889,0.832519531,0.832519531,952.2857666,467.6090328
1388.98,45906,0.944513889,0.833740234,0.833740234,954.1168213,468.5954383
1388.99,45906,0.944513889,0.834960938,0.835876465,955.7189941,469.8539558
1389,45906,0.944525463,0.837402344,0.837402344,957.0922852,470.8403614
1389.01,45906,0.944525463,0.838623047,0.838317871,958.694458,471.724725
1389.02,45906,0.944525463,0.83984375,0.840148926,959.8388672,472.7791585
1389.03,45906,0.944525463,0.841064453,0.841674805,961.2121582,473.6635222
1389.04,45906,0.944525463,0.842285156,0.842590332,962.5854492,474.4118298
1389.05,45906,0.944525463,0.843505859,0.844726563,963.9587402,475.5683053
1389.06,45906,0.944525463,0.845947266,0.847473145,966.0186768,477.0309067
1389.07,45906,0.944525463,0.848388672,0.848999023,967.8497314,478.2554102
1389.08,45906,0.944525463,0.849609375,0.850524902,969.4519043,479.0717458
1389.09,45906,0.944525463,0.850830078,0.852050781,971.282959,479.8200535
1389.1,45906,0.944525463,0.852050781,0.852966309,973.1140137,480.9085011
1389.11,45906,0.944525463,0.853271484,0.854492188,974.7161865,481.7928647
1389.12,45906,0.944525463,0.853271484,0.854797363,975.8605957,482.0649766
1389.13,45906,0.944525463,0.854492188,0.854797363,976.776123,481.9969486
1389.14,45906,0.944525463,0.854492188,0.854797363,977.4627686,482.1670185
1389.15,45906,0.944525463,0.855712891,0.855407715,977.9205322,482.6092003
1389.16,45906,0.944525463,0.855712891,0.856628418,977.9205322,483.1194101
1389.17,45906,0.944525463,0.855712891,0.856628418,977.4627686,483.1534241
1389.18,45906,0.944525463,0.854492188,0.856323242,977.0050049,482.7452563
1389.19,45906,0.944525463,0.854492188,0.855712891,976.0894775,482.8472982
1389.2,45906,0.944525463,0.855712891,0.856933594,976.776123,483.5275779
1389.21,45906,0.944525463,0.856933594,0.857849121,978.6071777,484.3439136
1389.22,45906,0.944525463,0.858154297,0.859069824,979.9804688,484.8881373
1389.23,45906,0.944525463,0.859375,0.859375,980.4382324,485.2282772
1389.24,45906,0.944525463,0.859375,0.859375,979.5227051,485.2282772
1389.25,45906,0.944525463,0.859375,0.859069824,978.8360596,485.1262352
1389.26,45906,0.944525463,0.859375,0.859375,978.6071777,485.3643331
1389.27,45906,0.944525463,0.859375,0.859985352,978.8360596,485.772501
1389.28,45906,0.944525463,0.860595703,0.860900879,979.5227051,486.2827107
1389.29,45906,0.944525463,0.861816406,0.861816406,980.4382324,486.9970044
1389.3,45906,0.944525463,0.863037109,0.862731934,980.8959961,487.5752422
1389.31,45906,0.944525463,0.863037109,0.863342285,981.1248779,488.017424
1389.32,45906,0.944525463,0.863037109,0.863647461,980.4382324,488.4936198
1389.33,45906,0.944525463,0.863037109,0.863952637,979.9804688,488.8337596
1389.34,45906,0.944525463,0.863037109,0.864257813,979.9804688,489.0718575
1389.35,45906,0.944525463,0.864257813,0.864868164,980.4382324,489.5140394
1389.36,45906,0.944525463,0.864257813,0.865478516,980.8959961,490.1603051
