time,pressure (MPA)
0.805,8.603418383
0.812,8.602280518
0.818,8.598844099
0.825,8.602313121
0.832,8.603881354
0.839,8.605650099
0.846,8.595058822
0.852,8.591972891
0.859,8.591677829
0.866,8.588169682
0.873,8.555088446
0.88,8.550887473
0.886,8.537387955
0.893,8.520044473
0.9,8.505069642
0.907,8.498087583
0.913,8.469404571
0.92,8.455652375
0.927,8.449214795
0.934,8.411780979
0.941,8.379373007
0.947,8.352946164
0.954,8.329137389
0.961,8.239216678
0.968,8.081232703
0.975,8.106008174
0.981,7.904397331
0.988,7.780854163
0.995,7.714411299
1.002,7.494130008
1.009,7.277881781
1.015,7.254074637
1.022,7.076825199
1.029,6.87498124
1.036,6.762965072
1.042,6.65544168
1.049,6.435386984
1.056,6.251002249
1.063,6.241499932
1.07,6.072645919
1.076,5.919391096
1.083,5.861015992
1.09,5.781326288
1.097,5.644352069
1.104,5.544391081
1.11,5.521684308
1.117,5.427976688
1.124,5.334361989
1.131,5.307843856
1.138,5.241037462
1.144,5.132997303
1.151,5.054597071
1.158,5.017164885
1.165,4.952228307
1.171,4.858700008
1.178,4.852299922
1.185,4.815609468
1.192,4.631430136
1.199,4.53947007
1.205,4.462184881
1.212,4.364750671
1.219,4.272797125
1.226,4.269357445
1.233,4.165824733
1.239,4.066243576
1.246,4.019860074
1.253,3.963713425
1.26,3.858902652
1.267,3.779406939
1.273,3.764839653
1.28,3.674544
1.287,3.587968417
1.294,3.559376695
1.3,3.498468291
1.307,3.408475852
1.314,3.341809653
1.321,3.314786164
1.328,3.221133971
1.334,3.127936598
1.341,3.111628281
1.348,3.03859297
1.355,2.948396758
1.362,2.894685597
1.368,2.854697289
1.375,2.775349923
1.382,2.699448757
1.389,2.696266646
1.396,2.630501937
1.402,2.565726747
1.409,2.534621288
1.416,2.501227057
1.423,2.439607895
1.429,2.389222301
1.436,2.382002235
1.443,2.324037936
1.45,2.261487941
1.457,2.23970385
1.463,2.199316148
1.47,2.140698146
1.477,2.097718459
1.484,2.08276319
1.491,2.025198285
1.497,1.967669243
1.504,1.955314112
1.511,1.910045652
1.518,1.848587877
1.525,1.818158943
1.531,1.798184351
1.538,1.740617816
1.545,1.690312101
1.552,1.686592031
1.558,1.639988454
1.565,1.593125678
1.572,1.565321333
1.579,1.549925916
1.586,1.491945315
1.592,1.482718498
1.599,1.444979838
1.606,1.398175749
1.613,1.372443363
1.62,1.354607567
1.626,1.307850753
1.633,1.268142836
1.64,1.265681264
1.647,1.228664774
1.654,1.188821552
1.66,1.169153434
1.667,1.149263612
1.674,1.109464405
1.681,1.077340084
1.687,1.073329842
1.694,1.033613774
1.701,0.993690673
1.708,0.979278255
1.715,0.953917549
1.721,0.914173768
1.728,0.883899701
1.735,0.874074608
1.742,0.83798406
1.749,0.802036967
1.755,0.793207914
1.762,0.762606181
1.769,0.729968353
1.776,0.709816072
1.783,0.697420186
1.789,0.668733914
1.796,0.636325941
1.803,0.633813834
1.81,0.607431006
1.816,0.578598018
1.823,0.566244516
1.83,0.553478579
1.837,0.528391744
1.844,0.505062242
1.85,0.502991914
1.857,0.480876896
1.864,0.45849779
1.871,0.449849686
1.878,0.436198562
1.884,0.414054201
1.891,0.396345559
1.898,0.391604996
1.905,0.3730454
1.912,0.354674905
1.918,0.349983248
1.925,0.336131611
1.932,0.321288825
1.939,0.311846824
1.945,0.306649812
1.952,0.288253234
1.959,0.277083243
1.966,0.27543024
1.973,0.262325226
1.979,0.247656869
1.986,0.242101216
1.993,0.236817804
2,0.225982
2.007,0.215648291
2.013,0.215151086
2.02,0.204313651
2.027,0.19713597
2.034,0.192674168
2.041,0.1861616
2.047,0.175426867
2.054,0.169517466
2.061,0.168203541
2.068,0.161092697
2.074,0.150211248
2.081,0.149218468
2.088,0.146559645
2.095,0.135684716
