time(s),force(N),pressure(Pa)
1.0910,1101.7678,9347334.5352
1.0980,1098.9922,9310718.1551
1.1050,1098.2052,9290341.3026
1.1110,1097.3768,9290827.8559
1.1180,1099.9346,9286890.0178
1.1250,1099.6047,9291131.1408
1.1320,1096.7408,9285860.1466
1.1390,1094.4708,9278219.6378
1.1450,1098.7446,9287506.3186
1.1520,1096.8610,9281975.8294
1.1590,1096.1429,9277810.9330
1.1660,1096.3917,9274426.1439
1.1720,1094.7137,9272004.7302
1.1790,1094.6908,9264155.0035
1.1860,1088.5519,9248697.2050
1.1930,1085.2672,9224285.2037
1.2000,1085.7313,9209743.7471
1.2060,1087.9388,9204926.8694
1.2130,1086.0490,9210893.6348
1.2200,1091.5175,9225118.8317
1.2270,1092.8145,9239827.3382
1.2330,1093.7578,9253311.3522
1.2400,1094.3957,9265027.5558
1.2470,1092.4036,9267092.1637
1.2540,1091.9801,9265737.9236
1.2610,1095.0841,9263824.1473
1.2670,1088.9310,9254190.3918
1.2740,1087.0721,9242303.8945
1.2810,1086.1705,9239676.5066
1.2880,1084.2648,9234343.8824
1.2950,1087.9087,9236796.1111
1.3010,1088.8325,9236971.2702
1.3080,1086.9692,9238528.2408
1.3150,1090.2496,9242490.4066
1.3220,1088.6218,9247878.1736
1.3280,1087.4175,9248757.2132
1.3350,1090.2065,9254506.6515
1.3420,1090.8206,9266021.7464
1.3490,1094.1505,9281534.6877
1.3560,1092.3974,9282976.5073
1.3620,1091.3925,9287960.4350
1.3690,1092.3755,9278561.8470
1.3760,1090.0260,9275741.4596
1.3830,1089.8725,9277953.6554
1.3890,1092.6994,9286761.8921
1.3960,1093.0842,9291633.9125
1.4030,1093.7265,9292368.6080
1.4100,1095.2406,9298645.1457
1.4170,1097.2443,9310622.4663
1.4230,1096.6382,9319508.5515
1.4300,1098.7240,9329520.1967
1.4370,1103.5317,9333670.4965
1.4440,1097.8957,9340850.4014
1.4500,1097.3867,9343187.4792
1.4570,1100.2189,9356244.9481
1.4640,1100.1995,9360234.6852
1.4710,1105.2092,9368676.3851
1.4780,1104.8916,9386502.0765
1.4840,1107.0515,9400954.3315
1.4910,1108.0662,9410516.7259
1.4980,1107.2899,9422729.2139
1.5050,1111.9925,9435204.4407
1.5110,1113.3743,9463033.6681
1.5180,1113.1140,9476843.6728
1.5250,1115.8668,9478168.7196
1.5320,1114.4120,9481845.4408
1.5390,1113.3480,9482270.3640
1.5450,1114.2259,9492642.0587
1.5520,1117.9078,9493997.9206
1.5590,1117.0238,9502561.2588
1.5660,1116.0357,9505112.4200
1.5720,1115.5081,9510453.1534
1.5790,1118.4303,9515020.2672
1.5860,1118.6404,9527918.7953
1.5930,1118.9413,9531919.8854
1.6000,1118.5426,9531345.7525
1.6060,1117.1971,9531282.5005
1.6130,1115.9081,9524597.2581
1.6200,1116.3899,9521021.0913
1.6270,1115.5104,9528857.8432
1.6330,1118.3170,9530997.0559
1.6400,1118.0197,9535700.4046
1.6470,1119.5982,9545069.7994
1.6540,1120.4461,9556288.0969
1.6610,1124.2241,9565762.9116
1.6670,1125.0297,9576024.3209
1.6740,1126.3161,9592878.5275
1.6810,1127.0617,9603344.2891
1.6880,1129.0320,9611594.6114
1.6940,1129.5031,9623429.2096
1.7010,1127.0593,9624389.3415
1.7080,1126.8476,9621594.9037
1.7150,1127.2032,9622723.7074
1.7220,1126.3510,9628599.6495
1.7280,1129.0579,9628919.1528
1.7350,1129.2370,9627579.5094
1.7420,1127.9454,9624327.7114
1.7490,1129.4365,9623894.6790
1.7550,1125.0701,9620106.0506
1.7620,1124.5841,9618030.0898
1.7690,1127.1322,9616161.7251
1.7760,1126.6717,9616010.8936
1.7830,1124.8004,9609139.1390
1.7890,1123.5679,9604541.2102
1.7960,1120.2911,9591337.7753
1.8030,1119.3948,9573599.6636
1.8100,1117.6655,9561675.8638
1.8160,1116.5813,9560122.1369
1.8230,1119.8599,9562232.1564
1.8300,1120.4917,9566252.7086
1.8370,1121.4702,9567138.2356
1.8440,1121.5708,9572399.4987
1.8500,1117.1338,9560247.0190
1.8570,1118.9126,9563026.8602
1.8640,1121.4051,9570487.3442
1.8710,1120.4020,9570918.7548
1.8770,1118.7822,9574619.8037
1.8840,1118.9216,9571969.7100
1.8910,1118.0703,9575610.7506
1.8980,1120.2858,9574199.7460
1.9050,1120.6326,9571402.0645
1.9110,1116.9367,9565046.0564
1.9180,1113.8858,9552559.4767
1.9250,1111.7251,9543394.4342
1.9320,1110.3894,9529774.1853
1.9380,1110.7450,9522496.9697
1.9450,1109.3652,9510548.8423
1.9520,1106.5119,9508346.3776
1.9590,1104.0186,9499630.5860
1.9660,1106.8799,9490825.5930
1.9720,1107.1570,9490528.7955
1.9790,1104.4264,9488264.7008
1.9860,1101.4011,9475643.5080
1.9930,1101.8044,9461898.3770
1.9990,1101.0677,9453871.8693
2.0060,1098.8461,9445577.7572
2.0130,1099.7673,9446919.0225
2.0200,1097.4337,9441176.0716
2.0270,1095.9868,9440572.7455
2.0330,1094.7031,9433314.9920
2.0400,1094.9008,9424928.4349
2.0470,1094.8753,9421929.6446
2.0540,1095.7285,9409454.4178
2.0600,1094.6892,9406355.0733
2.0670,1090.9290,9405547.3948
2.0740,1089.1309,9389414.9089
2.0810,1086.6218,9367458.3800
2.0880,1087.0012,9354206.2897
2.0940,1083.5118,9346262.4961
2.1010,1082.7160,9333094.7417
2.1080,1080.6939,9333286.1194
2.1150,1083.0099,9326555.4653
2.1210,1083.4582,9328013.5033
2.1280,1082.4427,9321578.0249
2.1350,1081.6223,9320720.0693
2.1420,1079.1175,9308192.9434
2.1490,1078.8846,9307197.1310
2.1550,1076.9966,9300704.8880
2.1620,1080.0044,9306841.9471
2.1690,1077.7811,9306509.4690
2.1760,1079.6260,9309359.0495
2.1830,1081.9315,9324245.9589
2.1890,1082.9082,9326390.0371
2.1960,1087.1600,9340678.4859
2.2030,1087.4107,9340190.3108
2.2100,1087.2784,9353367.7962
2.2160,1087.6993,9360622.3060
2.2230,1088.6266,9368776.9395
2.2300,1093.2525,9387100.5370
2.2370,1094.3325,9403007.5865
2.2440,1098.9213,9425838.2895
2.2500,1102.0906,9441639.9191
2.2570,1101.0001,9468234.9229
2.2640,1105.5660,9481817.8694
2.2710,1108.0118,9510967.2781
2.2770,1109.9935,9544445.3894
2.2840,1116.9451,9570855.5029
2.2910,1120.8616,9609635.4234
2.2980,1124.0000,9638496.1437
2.3050,1125.5811,9662507.5495
2.3110,1131.1934,9689533.9639
2.3180,1133.2448,9728201.9771
2.3250,1136.4273,9756490.1864
2.3320,1141.0382,9786129.3921
2.3380,1146.4414,9817666.1556
2.3450,1148.1328,9848246.0310
2.3520,1149.7916,9876394.7617
2.3590,1151.2174,9890371.8164
2.3660,1154.4263,9916705.7032
2.3720,1156.9568,9931526.1170
2.3790,1158.0729,9955779.1775
2.3860,1160.1843,9973825.4397
2.3930,1166.6639,9994263.9223
